Results for dataset: examples/data/A Machine Learning-Based Classification and Prediction Technique for DDoS Attacks/test.csv
Accuracy: 0.84761
Total Final Rules: 3182

--- Top Active Rules ---
Rule2374_Class4: Used 28, Errors 0 (0.00%)
Rule81_Class6: Used 27, Errors 1 (3.70%)
Rule1097_Class6: Used 27, Errors 4 (14.81%)
Rule1284_Class4: Used 26, Errors 1 (3.85%)
Rule1495_Class4: Used 26, Errors 2 (7.69%)
Rule3011_Class3: Used 26, Errors 1 (3.85%)
Rule3265_Class2: Used 26, Errors 18 (69.23%)
Rule629_Class3_&_Rule630_Class3_&_Rule631_Class3_&_Rule632_Class3: Used 25, Errors 12 (48.00%)
Rule685_Class3_&_Rule686_Class3_&_Rule687_Class3_&_Rule683_Class3_&_Rule684_Class3: Used 25, Errors 11 (44.00%)
Rule1475_Class4: Used 25, Errors 0 (0.00%)
Rule1776_Class5: Used 25, Errors 0 (0.00%)
Rule2156_Class6: Used 25, Errors 6 (24.00%)
Rule3248_Class3_&_Rule3249_Class3: Used 24, Errors 17 (70.83%)
Rule168_Class4: Used 24, Errors 3 (12.50%)
Rule1660_Class6: Used 24, Errors 0 (0.00%)
Rule2664_Class6: Used 24, Errors 2 (8.33%)
Rule1981_Class3_&_Rule1982_Class3: Used 23, Errors 17 (73.91%)
Rule66_Class6: Used 23, Errors 1 (4.35%)
Rule2247_Class6: Used 23, Errors 1 (4.35%)
Rule3059_Class3: Used 23, Errors 0 (0.00%)
Rule3225_Class2_&_Rule3226_Class2: Used 22, Errors 11 (50.00%)
Rule667_Class3: Used 22, Errors 4 (18.18%)
Rule2400_Class6: Used 22, Errors 0 (0.00%)
Rule1992_Class2_&_Rule1993_Class2_&_Rule1991_Class2_&_Rule1994_Class2: Used 21, Errors 9 (42.86%)
Rule1999_Class2_&_Rule2000_Class2_&_Rule2001_Class2_&_Rule1997_Class2_&_Rule1998_Class2: Used 21, Errors 12 (57.14%)
Rule3219_Class3_&_Rule3220_Class3_&_Rule3221_Class3: Used 21, Errors 18 (85.71%)
Rule1480_Class4: Used 21, Errors 0 (0.00%)
Rule2122_Class6: Used 21, Errors 0 (0.00%)
Rule2433_Class6: Used 21, Errors 1 (4.76%)
Rule3393_Class4_&_Rule3394_Class4_&_Rule3395_Class4_&_Rule3396_Class4: Used 20, Errors 17 (85.00%)
Rule1671_Class6: Used 20, Errors 0 (0.00%)
Rule2193_Class6: Used 19, Errors 2 (10.53%)
Rule2730_Class6: Used 19, Errors 3 (15.79%)
Rule2829_Class3: Used 19, Errors 1 (5.26%)
Rule2899_Class3: Used 19, Errors 5 (26.32%)
Rule3133_Class3: Used 19, Errors 5 (26.32%)
Rule3402_Class3_&_Rule3403_Class3_&_Rule3401_Class3_&_Rule3400_Class3: Used 18, Errors 15 (83.33%)
Rule1647_Class6: Used 18, Errors 0 (0.00%)
Rule1696_Class6: Used 18, Errors 1 (5.56%)
Rule2331_Class6: Used 18, Errors 0 (0.00%)
Rule2555_Class6: Used 18, Errors 3 (16.67%)
Rule2641_Class6: Used 18, Errors 2 (11.11%)
Rule2646_Class6: Used 18, Errors 2 (11.11%)
Rule702_Class3_&_Rule703_Class3_&_Rule701_Class3_&_Rule700_Class3_&_Rule699_Class3_&_Rule704_Class3: Used 17, Errors 6 (35.29%)
Rule3167_Class2_&_Rule3168_Class2_&_Rule3169_Class2_&_Rule3170_Class2_&_Rule3171_Class2_&_Rule3172_Class2: Used 17, Errors 8 (47.06%)
Rule3349_Class3_&_Rule3350_Class3_&_Rule3351_Class3_&_Rule3352_Class3_&_Rule3353_Class3: Used 17, Errors 15 (88.24%)
Rule1582_Class3_&_Rule1583_Class3_&_Rule1581_Class3: Used 17, Errors 12 (70.59%)
Rule1785_Class3_&_Rule1786_Class3_&_Rule1787_Class3: Used 17, Errors 13 (76.47%)
Rule1923_Class3_&_Rule1924_Class3_&_Rule1922_Class3: Used 17, Errors 15 (88.24%)
Rule408_Class3: Used 17, Errors 6 (35.29%)
Rule607_Class3: Used 17, Errors 3 (17.65%)
Rule1639_Class6: Used 17, Errors 0 (0.00%)
Rule1775_Class6: Used 17, Errors 0 (0.00%)
Rule2017_Class3: Used 17, Errors 12 (70.59%)
Rule2562_Class6: Used 17, Errors 0 (0.00%)
Rule2692_Class6: Used 17, Errors 0 (0.00%)
Rule2872_Class3: Used 17, Errors 1 (5.88%)
Rule3210_Class2_&_Rule3211_Class2_&_Rule3212_Class2: Used 16, Errors 15 (93.75%)
Rule3189_Class3_&_Rule3190_Class3: Used 16, Errors 13 (81.25%)
Rule203_Class7: Used 16, Errors 0 (0.00%)
Rule751_Class6: Used 16, Errors 4 (25.00%)
Rule985_Class6: Used 16, Errors 6 (37.50%)
Rule2816_Class3: Used 16, Errors 4 (25.00%)
Rule3328_Class3_&_Rule3329_Class3_&_Rule3330_Class3_&_Rule3331_Class3_&_Rule3332_Class3_&_Rule3333_Class3: Used 15, Errors 14 (93.33%)
Rule1826_Class3_&_Rule1827_Class3_&_Rule1828_Class3_&_Rule1825_Class3: Used 15, Errors 12 (80.00%)
